Region 23 Avg IOU: 0.136101, Class: 0.240060, Obj: 0.403660, No Obj: 0.495682, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 23 Avg IOU: 0.163380, Class: 0.366337, Obj: 0.624784, No Obj: 0.493862, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 23 Avg IOU: 0.146415, Class: 0.473458, Obj: 0.442067, No Obj: 0.494443, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 23 Avg IOU: 0.082062, Class: 0.421593, Obj: 0.430467, No Obj: 0.495537, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 23 Avg IOU: 0.203229, Class: 0.462990, Obj: 0.531084, No Obj: 0.496544, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 23 Avg IOU: 0.217715, Class: 0.622939, Obj: 0.460785, No Obj: 0.494157, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 16 Avg IOU: 0.836502, Class: 0.576640, Obj: 0.606868, No Obj: 0.468137, .5R: 1.000000, .75R: 1.000000,  count: 1
Region 23 Avg IOU: 0.169135, Class: 0.479015, Obj: 0.295705, No Obj: 0.492658, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 23 Avg IOU: 0.095312, Class: 0.483375, Obj: 0.579959, No Obj: 0.496101, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 23 Avg IOU: 0.087171, Class: 0.532175, Obj: 0.510427, No Obj: 0.493749, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 23 Avg IOU: 0.185404, Class: 0.603905, Obj: 0.486408, No Obj: 0.493871, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 23 Avg IOU: 0.173532, Class: 0.599983, Obj: 0.450540, No Obj: 0.493904, .5R: 0.000000, .75R: 0.000000,  count: 7
Region 23 Avg IOU: 0.078342, Class: 0.531708, Obj: 0.532155, No Obj: 0.497748, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 23 Avg IOU: 0.173949, Class: 0.621237, Obj: 0.462998, No Obj: 0.493813, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 23 Avg IOU: 0.213286, Class: 0.630190, Obj: 0.421758, No Obj: 0.495392, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 16 Avg IOU: 0.763074, Class: 0.639005, Obj: 0.161403, No Obj: 0.469678, .5R: 1.000000, .75R: 1.000000,  count: 1
Region 23 Avg IOU: 0.110049, Class: 0.695772, Obj: 0.609211, No Obj: 0.493805, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 23 Avg IOU: 0.098826, Class: 0.573338, Obj: 0.434937, No Obj: 0.497100, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 16 Avg IOU: 0.383487, Class: 0.385468, Obj: 0.612413, No Obj: 0.467566, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 23 Avg IOU: 0.324196, Class: 0.643715, Obj: 0.442876, No Obj: 0.494839, .5R: 0.250000, .75R: 0.000000,  count: 4
Region 23 Avg IOU: 0.196338, Class: 0.415223, Obj: 0.454622, No Obj: 0.494680, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 23 Avg IOU: 0.164057, Class: 0.502572, Obj: 0.525779, No Obj: 0.496721, .5R: 0.000000, .75R: 0.000000,  count: 7
Region 23 Avg IOU: 0.220499, Class: 0.354041, Obj: 0.379989, No Obj: 0.495426, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 23 Avg IOU: 0.164308, Class: 0.522608, Obj: 0.397213, No Obj: 0.495004, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 23 Avg IOU: 0.184084, Class: 0.625624, Obj: 0.533132, No Obj: 0.495591, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 23 Avg IOU: 0.162005, Class: 0.578667, Obj: 0.356531, No Obj: 0.494928, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 23 Avg IOU: 0.084800, Class: 0.608178, Obj: 0.492524, No Obj: 0.493751, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 23 Avg IOU: 0.163112, Class: 0.455594, Obj: 0.453766, No Obj: 0.494804, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 23 Avg IOU: 0.036893, Class: 0.588559, Obj: 0.570917, No Obj: 0.494055, .5R: 0.000000, .75R: 0.000000,  count: 5
