1: 361.527191, 361.527191 avg, 0.000000 rate, 0.723753 seconds, 64 images
2: 362.374084, 361.611877 avg, 0.000000 rate, 0.418484 seconds, 128 images
3: 361.877258, 361.638428 avg, 0.000000 rate, 0.580222 seconds, 192 images
4: 361.800690, 361.654663 avg, 0.000000 rate, 0.578955 seconds, 256 images
5: 361.749115, 361.664124 avg, 0.000000 rate, 0.593319 seconds, 320 images
6: 363.262665, 361.823975 avg, 0.000000 rate, 0.463146 seconds, 384 images
7: 362.894440, 361.931030 avg, 0.000000 rate, 0.586941 seconds, 448 images
8: 362.895813, 362.027496 avg, 0.000000 rate, 0.520253 seconds, 512 images
9: 362.443481, 362.069092 avg, 0.000000 rate, 0.593520 seconds, 576 images
10: 362.601440, 362.122314 avg, 0.000000 rate, 0.496176 seconds, 640 images
11: 363.737946, 362.283875 avg, 0.000000 rate, 0.460200 seconds, 704 images
12: 363.988800, 362.454376 avg, 0.000000 rate, 0.450446 seconds, 768 images
13: 363.276947, 362.536621 avg, 0.000000 rate, 0.593968 seconds, 832 images
14: 361.893707, 362.472321 avg, 0.000000 rate, 0.475485 seconds, 896 images
15: 362.570984, 362.482178 avg, 0.000000 rate, 0.501683 seconds, 960 images
16: 361.502380, 362.384186 avg, 0.000000 rate, 0.593926 seconds, 1024 images
17: 362.218842, 362.367645 avg, 0.000000 rate, 0.457866 seconds, 1088 images
18: 361.711578, 362.302032 avg, 0.000000 rate, 0.571702 seconds, 1152 images
19: 361.858826, 362.257721 avg, 0.000000 rate, 0.490227 seconds, 1216 images
20: 362.911469, 362.323090 avg, 0.000000 rate, 0.456148 seconds, 1280 images
21: 362.520142, 362.342804 avg, 0.000000 rate, 0.442887 seconds, 1344 images
22: 362.671936, 362.375732 avg, 0.000000 rate, 0.549884 seconds, 1408 images
23: 362.196625, 362.357819 avg, 0.000000 rate, 0.444633 seconds, 1472 images
24: 363.309998, 362.453033 avg, 0.000000 rate, 0.600169 seconds, 1536 images
25: 360.612274, 362.268951 avg, 0.000000 rate, 0.597630 seconds, 1600 images
26: 362.566193, 362.298676 avg, 0.000000 rate, 0.448421 seconds, 1664 images
27: 360.488800, 362.117676 avg, 0.000000 rate, 0.435900 seconds, 1728 images
28: 361.753967, 362.081299 avg, 0.000000 rate, 0.508504 seconds, 1792 images
29: 363.275635, 362.200745 avg, 0.000000 rate, 0.479082 seconds, 1856 images
30: 363.024231, 362.283081 avg, 0.000000 rate, 0.480743 seconds, 1920 images
31: 362.453857, 362.300171 avg, 0.000000 rate, 0.473962 seconds, 1984 images
32: 361.735535, 362.243713 avg, 0.000000 rate, 0.476496 seconds, 2048 images
33: 362.319672, 362.251312 avg, 0.000000 rate, 0.453745 seconds, 2112 images
34: 361.840393, 362.210205 avg, 0.000000 rate, 0.492579 seconds, 2176 images
35: 360.723206, 362.061493 avg, 0.000000 rate, 0.578127 seconds, 2240 images
36: 362.382751, 362.093628 avg, 0.000000 rate, 0.451480 seconds, 2304 images
37: 361.556519, 362.039917 avg, 0.000000 rate, 0.489653 seconds, 2368 images
38: 362.469025, 362.082825 avg, 0.000000 rate, 0.598231 seconds, 2432 images
39: 364.105957, 362.285126 avg, 0.000000 rate, 0.450768 seconds, 2496 images
40: 362.080475, 362.264648 avg, 0.000000 rate, 0.575314 seconds, 2560 images
41: 362.860260, 362.324219 avg, 0.000000 rate, 0.583327 seconds, 2624 images
42: 363.402618, 362.432068 avg, 0.000000 rate, 0.570627 seconds, 2688 images
43: 362.847412, 362.473602 avg, 0.000000 rate, 0.451636 seconds, 2752 images
44: 361.642883, 362.390533 avg, 0.000000 rate, 0.436034 seconds, 2816 images
45: 359.875793, 362.139069 avg, 0.000000 rate, 0.446896 seconds, 2880 images
46: 361.704285, 362.095581 avg, 0.000000 rate, 0.468240 seconds, 2944 images
47: 361.710510, 362.057068 avg, 0.000000 rate, 0.474701 seconds, 3008 images
48: 360.240021, 361.875366 avg, 0.000000 rate, 0.581561 seconds, 3072 images
49: 362.217407, 361.909576 avg, 0.000000 rate, 0.579719 seconds, 3136 images
50: 361.227478, 361.841370 avg, 0.000000 rate, 0.538763 seconds, 3200 images
51: 360.859497, 361.743195 avg, 0.000000 rate, 0.582636 seconds, 3264 images
52: 359.759766, 361.544861 avg, 0.000000 rate, 0.444175 seconds, 3328 images
53: 360.359863, 361.426361 avg, 0.000000 rate, 0.588306 seconds, 3392 images
54: 360.601807, 361.343903 avg, 0.000000 rate, 0.593712 seconds, 3456 images
55: 357.844940, 360.994019 avg, 0.000000 rate, 0.460701 seconds, 3520 images
56: 359.868958, 360.881500 avg, 0.000000 rate, 0.429176 seconds, 3584 images
57: 361.700867, 360.963440 avg, 0.000000 rate, 0.597553 seconds, 3648 images
58: 359.663544, 360.833435 avg, 0.000000 rate, 0.445334 seconds, 3712 images
59: 359.124817, 360.662567 avg, 0.000000 rate, 0.512877 seconds, 3776 images
60: 358.324280, 360.428741 avg, 0.000000 rate, 0.578156 seconds, 3840 images
61: 356.926025, 360.078461 avg, 0.000000 rate, 0.464770 seconds, 3904 images
62: 356.743225, 359.744934 avg, 0.000000 rate, 0.465687 seconds, 3968 images
63: 357.296539, 359.500092 avg, 0.000000 rate, 0.593402 seconds, 4032 images
64: 356.745178, 359.224609 avg, 0.000000 rate, 0.567764 seconds, 4096 images
65: 353.493744, 358.651520 avg, 0.000000 rate, 0.412614 seconds, 4160 images
66: 355.845459, 358.370911 avg, 0.000000 rate, 0.486793 seconds, 4224 images
67: 354.212433, 357.955078 avg, 0.000000 rate, 0.584689 seconds, 4288 images
68: 352.864136, 357.445984 avg, 0.000000 rate, 0.583401 seconds, 4352 images
69: 354.626678, 357.164062 avg, 0.000000 rate, 0.624687 seconds, 4416 images
70: 354.393585, 356.887024 avg, 0.000000 rate, 0.595557 seconds, 4480 images
71: 351.762909, 356.374603 avg, 0.000000 rate, 0.599704 seconds, 4544 images
72: 352.498566, 355.987000 avg, 0.000000 rate, 0.617259 seconds, 4608 images
73: 350.597748, 355.448059 avg, 0.000000 rate, 0.587436 seconds, 4672 images
74: 350.447906, 354.948059 avg, 0.000000 rate, 0.618707 seconds, 4736 images
75: 349.514862, 354.404755 avg, 0.000000 rate, 0.427188 seconds, 4800 images
76: 347.525055, 353.716797 avg, 0.000000 rate, 0.465517 seconds, 4864 images
77: 349.546448, 353.299774 avg, 0.000000 rate, 0.590254 seconds, 4928 images
78: 348.163300, 352.786133 avg, 0.000000 rate, 0.625643 seconds, 4992 images
79: 346.346741, 352.142181 avg, 0.000000 rate, 0.499254 seconds, 5056 images
80: 343.454681, 351.273438 avg, 0.000000 rate, 0.516364 seconds, 5120 images
81: 341.947784, 350.340881 avg, 0.000000 rate, 0.483521 seconds, 5184 images
82: 341.760101, 349.482788 avg, 0.000000 rate, 0.609334 seconds, 5248 images
83: 341.249878, 348.659485 avg, 0.000000 rate, 0.598449 seconds, 5312 images
84: 340.731628, 347.866699 avg, 0.000000 rate, 0.517274 seconds, 5376 images
85: 337.874969, 346.867523 avg, 0.000000 rate, 0.625880 seconds, 5440 images
